Database Name	operetta
Database Link	http://10.45.1.197/ODA/OdaService.asmx
Evaluation Signature	2a5914c5-2b8b-4932-84dc-6bf33d939942
Plate Name	NADguanosineplate
Measurement	Measurement 1
Evaluation	Evaluation2
Population	Population - full nuclei

[Data]
Row	Column	Plane	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	full nuclei - Object No in nuclei	full nuclei - Total Spot Area	full nuclei - Relative Spot Intensity	full nuclei - Number of Spots	full nuclei - Number of Spots per Area of Nucleus	full nuclei - Intensity Nucleus Alexa 488 Mean	full nuclei -  Area [µm²]	full nuclei -  Roundness	full nuclei -  Width [µm]	full nuclei -  Length [µm]	full nuclei -  Ratio Width to Length	full nuclei - Number of Spots H2AX- per Cell 	
2	2	1	0	6	5	668	749	[646,717,690,773]	-284.94	1230.37					5	593	0.0206911	23	0.0115869	5046.2	175.995	0.925597	12.5202	16.741	0.747875	23	
2	2	1	0	7	1	831	126	[804,81,859,156]	87.29	1416.68					1	709	0.0236053	27	0.00830769	4366.26	288.154	0.860367	15.1596	22.3501	0.67828	27	
2	2	1	0	7	2	742	229	[719,205,767,256]	60.39	1383.34					2	313	0.0180624	14	0.00740349	6319.29	167.661	0.957143	13.3164	15.3831	0.865647	14	
2	2	1	0	7	3	873	238	[841,217,895,261]	98.08	1380.98					3	872	0.0346643	35	0.0187166	5187.25	165.799	0.914811	12.0438	16.6667	0.722622	35	
2	2	1	0	7	4	975	632	[952,611,1004,654]	130.45	1264.02					4	518	0.0394593	15	0.00846024	4044.62	157.199	0.937094	11.9254	16.2901	0.732064	15	
2	2	1	0	8	1	436	108	[399,74,469,172]	291.15	1417.11					1	849	0.0239933	32	0.0090268	8066.62	314.309	0.709238	11.1253	31.0831	0.357923	32	
2	2	1	0	8	2	758	636	[739,605,778,660]	387.79	1263.72					2	26	0.00080398	1	0.00058997	3726.32	150.283	0.877611	10.8673	16.6108	0.654233	1	
2	2	1	0	8	3	118	775	[99,756,135,822]	196.47	1217.71					3	445	0.0395009	11	0.0058855	4173.03	165.71	0.836869	9.69445	19.4665	0.498007	11	
2	2	1	0	8	4	601	106	[578,83,630,130]	342.2	1420.33					4	719	0.0304936	31	0.016029	3603.86	171.474	0.969562	13.3164	15.7477	0.845607	31	
2	2	1	0	8	5	642	578	[616,548,667,604]	352.99	1280.64					5	310	0.0389757	9	0.00431034	2666.65	185.128	0.918514	11.563	18.6477	0.620079	9	
2	2	1	0	8	6	536	716	[510,689,561,747]	321.7	1238.68					6	521	0.0223832	10	0.00459348	3221.33	193.019	0.882992	12.5626	18.5905	0.675755	10	
2	2	1	0	8	7	440	761	[417,737,462,789]	293.08	1225.13					7	48	0.000975834	2	0.00109951	3744.11	161.277	0.900299	12.3921	15.8487	0.781899	2	
2	2	1	0	8	8	663	844	[640,816,689,873]	359.69	1200.91					8	600	0.0970553	17	0.00892857	3647.94	168.814	0.883654	12.2771	17.6285	0.696435	17	
2	2	1	0	8	9	882	860	[857,836,910,886]	425.26	1195.65					9	681	0.0314372	29	0.0138955	5500.94	185.039	0.952633	13.4752	16.8545	0.7995	29	
2	2	1	0	8	10	558	903	[536,872,580,936]	328.33	1182.75					10	326	0.0357737	9	0.00420168	4080.21	189.915	0.880807	11.315	19.5097	0.579967	9	
2	2	1	0	9	1	565	192	[539,168,593,255]	652.89	1390.03					1	114	0.0110972	2	0.000633112	4769.53	280.085	0.738983	11.7908	25.9208	0.454879	2	
2	2	1	0	9	2	918	140	[895,117,955,166]	760.65	1410.85					2	192	0.0121601	8	0.00373657	5039.62	189.827	0.862603	12.5202	18.4901	0.677131	8	
2	2	1	0	9	3	690	152	[668,130,711,186]	690.18	1405.41					3	750	0.0316369	26	0.0135983	4814	169.523	0.940954	11.9699	17.087	0.700527	26	
2	2	1	0	9	4	886	174	[861,144,910,210]	748.61	1398.86					4	23	0.000997484	1	0.000471254	5811.7	188.142	0.888326	11.4397	20.5305	0.557203	1	
2	2	1	0	9	5	791	532	[768,509,823,555]	722.05	1294.02					5	794	0.0361286	41	0.0210149	6439.1	172.981	0.937443	13.0745	16.5091	0.791957	41	
2	2	1	0	9	6	844	772	[813,752,866,797]	735.16	1221.2					6	629	0.0373548	24	0.0140023	10128.2	151.968	0.949354	11.2364	16.9542	0.662748	24	
