Database Name	operetta
Database Link	http://10.45.1.197/ODA/OdaService.asmx
Evaluation Signature	7565033a-ea03-4f4b-8fc5-eb1516bb4f87
Plate Name	rech2ax53bp1270224
Measurement	Measurement 1
Evaluation	Evaluation5
Population	Population - Nuclei Selected

[Data]
Row	Column	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	Nuclei Selected - Object No in Nuclei	Nuclei Selected - Nucleus Area [µm²]	Nuclei Selected - Nucleus Roundness	Nuclei Selected - Nucleus Ratio Width to Length	Nuclei Selected - Intensity Nucleus Alexa 488 Mean	Nuclei Selected - Intensity Nucleus DAPI Mean	Nuclei Selected - Intensity Ring Region DAPI Mean	Nuclei Selected - Total Spot Area	Nuclei Selected - Relative Spot Intensity	Nuclei Selected - Number of Spots	Nuclei Selected - Number of Spots per Area of Nucleus	Nuclei Selected - Total Spot Area (2)	Nuclei Selected - Relative Spot Intensity (2)	Nuclei Selected - Number of Spots (2)	Nuclei Selected - Number of Spots per Area of Nucleus (2)	
5	2	0	49	57	863	858	[818,812,912,904]	676.23	-675					74	238.895	0.959476	0.772176	2122.25	7117.09	1976.92	716	0.0076377	21	0.00311203	924	0.0106879	23	0.00340842	
5	2	0	49	58	722	915	[680,877,765,957]	649.56	-686.12					75	187.42	0.948909	0.822209	2723.3	7934.49	3453.82	57	0.000633359	1	0.000188893	41	0.00104867	1	0.000188893	
5	2	0	49	59	539	938	[505,905,572,974]	614.69	-690.21					76	128.05	1.00697	0.904524	1779.97	5809.63	1337.45	343	0.0352135	10	0.00276472	332	0.0171731	13	0.00359414	
5	2	0	49	60	957	957	[916,916,994,1018]	693.38	-695.64					77	218.928	0.952393	0.692255	1979.64	6573.28	1479.32	174	0.00386862	5	0.000808538	422	0.00487158	14	0.00226391	
5	2	0	49	61	399	973	[347,930,450,1017]	588.55	-696.56					78	248.878	0.958254	0.768195	1685.97	7482.97	1859.53	835	0.0135471	25	0.00355619	1545	0.0326093	45	0.00640114	
5	2	0	40	1	784	136	[746,86,824,177]	-158.58	-333.5					4	152.018	0.909443	0.474268	1497.45	6807.02	1417.63	323	0.00947068	10	0.00232883	474	0.0115582	14	0.00326036	
5	2	0	40	2	260	140	[228,109,296,173]	-257.27	-335.1					5	116.863	0.956141	0.784166	1682.49	5730.3	2123.87	194	0.0048094	5	0.00151469	72	0.00190422	1	0.000302939	
5	2	0	40	3	470	150	[441,122,508,179]	-217.16	-336.79					6	109.57	0.979303	0.765668	1691.68	5647.09	1359.26	524	0.0120389	19	0.00613893	470	0.0126904	20	0.00646204	
5	2	0	40	4	575	203	[544,160,621,238]	-197.54	-346.3					8	149.646	0.830594	0.618609	1576.98	4046.7	1275.42	317	0.0362767	10	0.00236574	333	0.0232354	10	0.00236574	
5	2	0	40	5	921	189	[892,161,986,220]	-129.84	-344.5					9	164.09	0.900677	0.579608	1732.89	4357.22	1119.55	801	0.0294178	25	0.00539374	778	0.0191868	31	0.00668824	
5	2	0	40	6	365	219	[319,189,402,251]	-238.56	-349.85					10	143.627	0.950779	0.705427	1649.62	4910.93	1136.59	182	0.00240937	6	0.00147893	71	0.00117063	2	0.000492975	
5	2	0	40	7	984	247	[954,220,1026,275]	-120.44	-355.15					11	112.296	0.980857	0.718675	1863.37	5907.11	1253.89	287	0.0401422	9	0.00283733	215	0.0216154	7	0.00220681	
5	2	0	40	8	159	271	[127,236,192,305]	-276.4	-359.29					12	118.279	0.980007	0.711475	1729.83	5922.73	1235.11	133	0.00229066	6	0.00179587	434	0.0105726	14	0.00419036	
5	2	0	40	9	640	343	[596,312,679,374]	-186.69	-372.99					14	138.458	0.888603	0.674029	1465.61	4427.76	1814.15	254	0.00366618	7	0.00178982	0	0	0	0	
5	2	0	40	10	962	377	[918,344,998,412]	-126.37	-379.75					15	151.947	0.981577	0.777181	1488.1	4558.32	1067.91	158	0.00125372	6	0.00139795	200	0.00220869	8	0.00186393	
